P11A1,P11A2,P11A3,P11A4,P11A5,P11A6,P11A7,P11A8,P11A9,P11A10,P11A11,P11A12,P11A13,P11A14,P11A15,,P02A1,P02A2,P02A3,P02A4,P02A5,P02A6,P02A7,P02A8,P02A9,P02A10,P02A11,P02A12,P02A13,P02A14,P02A15,,NoPCRA1,NoPCRA2,NoPCRA3,NoPCRA4,NoPCRA5,NoPCRA6,NoPCRA7,NoPCRA8,NoPCRA9,NoPCRA10,NoPCRA11,NoPCRA12,NoPCRA13,NoPCRA14,NoPCRA15,,JustPCRA1,JustPCRA2,JustPCRA3,JustPCRA4,JustPCRA5,JustPCRA6,JustPCRA7,JustPCRA8,JustPCRA9,JustPCRA10,JustPCRA11,JustPCRA12,JustPCRA13,JustPCRA14,JustPCRA15,,AcclimA1,AcclimA2,AcclimA3,AcclimA4,AcclimA5,AcclimA6,AcclimA7,AcclimA8,AcclimA9,AcclimA10,AcclimA11,AcclimA12,AcclimA13,AcclimA14,AcclimA15,,RampA1,RampA2,RampA3,RampA4,RampA5,RampA6,RampA7,RampA8,RampA9,RampA10,RampA11,RampA12,RampA13,RampA14,RampA15,,Cst12CA1,Cst12CA2,Cst12CA3,Cst12CA4,Cst12CA5,Cst12CA6,Cst12CA7,Cst12CA8,Cst12CA9,Cst12CA10,Cst12CA11,Cst12CA12,Cst12CA13,Cst12CA14,Cst12CA15,,Cst16CA1,Cst16CA2,Cst16CA3,Cst16CA4,Cst16CA5,Cst16CA6,Cst16CA7,Cst16CA8,Cst16CA9,Cst16CA10,Cst16CA11,Cst16CA12,Cst16CA13,Cst16CA14,Cst16CA15,,Cst14CA1,Cst14CA2,Cst14CA3,Cst14CA4,Cst14CA5,Cst14CA6,Cst14CA7,Cst14CA8,Cst14CA9,Cst14CA10,Cst14CA11,Cst14CA12,Cst14CA13,Cst14CA14,Cst14CA15,,Cst10CA1,Cst10CA2,Cst10CA3,Cst10CA4,Cst10CA5,Cst10CA6,Cst10CA7,Cst10CA8,Cst10CA9,Cst10CA10,Cst10CA11,Cst10CA12,Cst10CA13,Cst10CA14,Cst10CA15,,Cst8CA1,Cst8CA2,Cst8CA3,Cst8CA4,Cst8CA5,Cst8CA6,Cst8CA7,Cst8CA8,Cst8CA9,Cst8CA10,Cst8CA11,Cst8CA12,Cst8CA13,Cst8CA14,Cst8CA15,,Cst18CA1,Cst18CA2,Cst18CA3,Cst18CA4,Cst18CA5,Cst18CA6,Cst18CA7,Cst18CA8,Cst18CA9,Cst18CA10,Cst18CA11,Cst18CA12,Cst18CA13,Cst18CA14,Cst18CA15,,Cst6CA1,Cst6CA2,Cst6CA3,Cst6CA4,Cst6CA5,Cst6CA6,Cst6CA7,Cst6CA8,Cst6CA9,Cst6CA10,Cst6CA11,Cst6CA12,Cst6CA13,Cst6CA14,Cst6CA15,,Cst22CA1,Cst22CA2,Cst22CA3,Cst22CA4,Cst22CA5,Cst22CA6,Cst22CA7,Cst22CA8,Cst22CA9,Cst22CA10,Cst22CA11,Cst22CA12,Cst22CA13,Cst22CA14,Cst22CA15,,Cst24CA1,Cst24CA2,Cst24CA3,Cst24CA4,Cst24CA5,Cst24CA6,Cst24CA7,Cst24CA8,Cst24CA9,Cst24CA10,Cst24CA11,Cst24CA12,Cst24CA13,Cst24CA14,Cst24CA15,,Cst26CA1,Cst26CA2,Cst26CA3,Cst26CA4,Cst26CA5,Cst26CA6,Cst26CA7,Cst26CA8,Cst26CA9,Cst26CA10,Cst26CA11,Cst26CA12,Cst26CA13,Cst26CA14,Cst26CA15,,Cst28CA1,Cst28CA2,Cst28CA3,Cst28CA4,Cst28CA5,Cst28CA6,Cst28CA7,Cst28CA8,Cst28CA9,Cst28CA10,Cst28CA11,Cst28CA12,Cst28CA13,Cst28CA14,Cst28CA15,,Cst30CA1,Cst30CA2,Cst30CA3,Cst30CA4,Cst30CA5,Cst30CA6,Cst30CA7,Cst30CA8,Cst30CA9,Cst30CA10,Cst30CA11,Cst30CA12,Cst30CA13,Cst30CA14,Cst30CA15,,Cst32CA1,Cst32CA2,Cst32CA3,Cst32CA4,Cst32CA5,Cst32CA6,Cst32CA7,Cst32CA8,Cst32CA9,Cst32CA10,Cst32CA11,Cst32CA12,Cst32CA13,Cst32CA14,Cst32CA15,,Cst34CA1,Cst34CA2,Cst34CA3,Cst34CA4,Cst34CA5,Cst34CA6,Cst34CA7,Cst34CA8,Cst34CA9,Cst34CA10,Cst34CA11,Cst34CA12,Cst34CA13,Cst34CA14,Cst34CA15,,Cst4CA1,Cst4CA2,Cst4CA3,Cst4CA4,Cst4CA5,Cst4CA6,Cst4CA7,Cst4CA8,Cst4CA9,Cst4CA10,Cst4CA11,Cst4CA12,Cst4CA13,Cst4CA14,Cst4CA15,,Cst10C13DA1,Cst10C13DA2,Cst10C13DA3,Cst10C13DA4,Cst10C13DA5,Cst10C13DA6,Cst10C13DA7,Cst10C13DA8,Cst10C13DA9,Cst10C13DA10,Cst10C13DA11,Cst10C13DA12,Cst10C13DA13,Cst10C13DA14,Cst10C13DA15,Cst10C13DA16,Cst10C13DA17,Cst10C13DA18,Cst10C13DA19,Cst10C13DA20,Cst10C13DA21,Cst10C13DA22,Cst10C13DA23,Cst10C13DA24,Cst10C13DA25,Cst10C13DA26,Cst10C13DA27,Cst10C13DA28,Cst10C13DA29,Cst10C13DA30,,,,Legend,Legend2
5,5,5,5,5,4,5,5,5,5,4,4,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,3,5,3,5,4,5,5,4,5,5,5,4,4,4,,5,3,5,3,3,4,5,4,5,5,5,5,5,5,5,,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,3,2,4,2,3,5,3,5,5,4,3,0,,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,,5,4,5,2,2,2,3,5,0,1,2,1,4,5,1,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,4,5,5,5,5,5,5,5,5,5,4,4,4,4,,5,5,5,5,5,4,4,4,4,5,5,4,4,5,5,,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,,5,5,3,1,3,1,5,1,3,1,0,1,0,0,0,,5,5,3,3,0,2,3,2,0,1,2,0,0,2,0,,5,5,5,3,5,5,5,5,5,5,5,3,5,5,5,4,5,5,3,5,5,5,5,5,5,5,3,5,5,5,,,,P11,Pulses 1hr-1hr
3,4,5,4,4,4,5,5,5,5,4,4,5,4,5,,4,4,4,4,5,4,5,5,5,4,4,5,4,3,4,,3,2,2,2,4,3,3,3,2,3,4,2,2,3,3,,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,3,2,4,4,4,4,3,4,5,4,4,4,4,5,5,,3,3,3,2,3,5,5,4,4,5,4,5,4,5,3,,2,3,3,2,3,4,3,5,5,5,5,4,4,5,4,,3,2,3,3,3,3,3,3,5,3,4,5,5,5,5,,3,3,3,2,3,3,3,4,5,5,5,3,5,5,5,,3,3,3,2,1,2,2,2,5,1,4,5,3,2,0,,2,2,2,2,3,3,2,2,3,4,3,5,5,3,4,,3,2,2,2,2,0,1,5,0,1,1,0,5,5,1,,3,3,2,2,3,3,3,3,3,4,3,3,4,4,4,,3,2,3,3,3,3,3,3,2,3,3,2,3,3,3,,3,0,2,3,1,3,3,3,2,2,2,2,2,2,1,,2,2,3,0,0,2,3,3,3,0,2,3,2,2,2,,3,3,3,0,3,1,1,0,0,0,2,2,0,2,2,,2,0,2,3,0,0,0,0,0,0,0,2,2,0,0,,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,3,2,0,2,2,0,0,1,2,0,0,1,0,,4,4,5,3,5,3,5,5,4,4,5,4,4,4,4,4,4,5,3,4,4,5,5,5,4,5,4,5,4,4,,,,P02,Pulses 0hr-2hr
0,3,3,4,3,4,4,4,4,5,4,4,4,4,5,,2,4,4,4,5,3,4,4,4,3,5,5,3,5,4,,2,2,2,2,3,3,3,2,2,3,2,2,2,2,3,,2,2,2,2,3,2,2,3,2,2,2,2,3,3,2,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,2,2,3,3,3,4,3,5,4,3,4,3,4,5,3,,2,2,3,2,3,5,4,5,3,4,5,5,5,4,3,,2,2,3,2,2,3,3,4,4,5,4,5,4,3,5,,2,2,2,3,2,2,2,3,5,4,5,5,4,5,5,,3,3,2,3,2,3,2,4,5,5,4,4,3,5,5,,3,2,2,2,0,3,2,2,3,1,5,5,2,2,0,,2,2,2,3,3,2,2,2,3,4,3,5,4,2,3,,2,2,3,2,2,0,1,5,0,0,1,0,4,4,1,,3,1,2,2,2,2,3,3,3,2,3,2,3,3,3,,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,,2,0,2,1,0,2,1,2,2,1,1,2,1,2,1,,2,2,1,0,0,0,1,0,0,0,0,2,1,1,1,,3,2,0,0,0,0,0,0,0,0,1,0,0,0,1,,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,3,2,2,0,1,1,0,0,1,1,0,0,1,0,,4,4,5,3,5,5,5,5,5,5,5,4,4,4,4,5,4,5,3,5,4,5,5,4,4,5,4,5,5,5,,,,NoPCR,"Negative control, no PCR tube"
0,3,2,3,3,3,3,4,4,5,3,3,5,3,4,,2,3,3,3,4,4,3,2,3,3,3,4,2,4,3,,2,2,2,2,2,2,2,2,1,2,2,1,2,2,3,,2,2,1,2,3,2,2,2,2,2,2,3,3,2,2,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,1,2,1,3,3,2,4,4,3,4,4,4,4,5,3,,2,2,2,1,3,4,3,5,4,5,5,5,4,4,3,,3,2,2,2,2,2,2,4,3,4,5,5,4,3,3,,2,2,3,3,2,2,2,3,4,5,4,5,4,5,5,,2,2,3,2,2,2,2,5,5,4,5,5,5,5,5,,2,2,2,2,0,2,2,2,4,1,5,4,2,1,0,,2,2,2,3,3,2,2,3,3,3,3,3,3,2,2,,2,2,3,2,1,0,1,4,0,0,1,0,4,5,1,,2,1,2,2,2,2,3,3,2,2,2,2,3,3,4,,2,2,2,1,1,2,2,1,1,2,2,2,1,2,2,,1,0,1,1,0,1,1,1,1,1,0,2,1,1,1,,2,1,1,0,0,0,0,0,0,0,0,1,1,1,1,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,1,2,0,1,1,0,0,1,1,0,0,2,0,,4,4,4,3,4,4,5,4,4,4,4,3,4,3,4,4,4,5,3,3,3,5,4,4,5,5,4,5,5,5,,,,Acclim,"Positive control, acclimated animals"
0,0,2,3,3,3,2,4,4,3,3,3,4,3,3,,3,2,2,3,4,3,2,2,3,3,3,4,4,4,2,,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,,2,2,1,1,2,1,1,1,2,2,2,2,2,2,1,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,1,1,2,3,2,2,3,4,3,4,4,4,4,5,3,,2,2,2,0,2,3,3,5,3,4,5,5,4,5,3,,2,2,2,0,2,2,4,4,3,4,4,4,4,3,4,,1,2,2,2,2,2,3,2,4,4,5,5,3,5,5,,1,2,2,2,2,2,2,4,4,5,5,5,5,5,5,,2,2,2,1,0,2,2,2,5,1,5,5,2,1,0,,2,2,2,2,2,2,2,3,3,4,3,3,4,2,2,,2,2,2,1,0,0,1,3,0,0,1,0,5,5,1,,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,,2,1,0,0,0,0,0,0,0,0,0,1,1,1,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,1,2,0,0,2,0,0,0,1,0,0,2,0,,4,4,4,3,4,4,4,4,5,4,4,4,4,3,3,4,4,4,3,4,4,4,4,3,4,5,3,4,4,4,,,,,
0,0,0,3,3,2,3,4,4,4,2,3,3,3,3,,2,2,2,3,3,2,3,2,3,3,3,4,4,3,3,,2,2,2,2,1,1,1,1,1,1,1,2,2,1,2,,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,1,1,2,2,2,2,3,3,3,4,4,4,3,5,4,,1,2,2,0,2,3,2,4,4,2,4,5,5,3,3,,2,2,2,0,2,3,4,3,3,5,4,4,3,3,4,,0,2,2,2,2,2,2,2,4,4,4,5,5,5,4,,1,1,2,2,2,3,2,4,5,5,5,5,5,5,5,,2,1,2,1,0,2,1,2,5,1,5,5,2,2,0,,1,2,1,2,2,2,2,3,2,3,3,3,2,1,3,,2,2,2,1,0,0,0,3,0,0,1,0,4,5,1,,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,0,2,0,0,2,0,0,0,1,0,0,2,0,,4,4,4,3,5,3,4,4,4,5,4,4,5,4,4,4,4,4,3,4,4,5,4,3,5,4,3,3,4,5,,,,,
0,0,0,2,2,2,3,4,3,3,2,2,3,2,4,,2,2,2,3,2,3,3,2,3,3,3,4,3,4,3,,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,1,1,1,1,2,3,3,4,3,3,4,3,4,4,3,,1,2,1,0,2,3,4,4,3,3,4,4,5,3,4,,1,2,2,0,1,3,4,3,3,4,3,5,4,3,4,,0,2,2,2,2,2,2,2,3,4,4,5,5,5,4,,0,1,2,2,2,2,2,5,5,4,4,5,5,4,5,,1,1,2,1,0,2,1,2,4,1,5,5,2,2,0,,1,1,1,3,2,2,2,2,3,2,3,3,2,1,1,,2,2,2,1,0,0,0,3,0,0,1,0,4,5,1,,2,2,1,1,2,1,1,1,1,1,2,1,2,2,2,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,2,0,0,1,0,0,0,1,0,0,2,0,,3,3,4,3,4,3,4,3,3,4,3,4,5,4,4,4,4,4,3,4,3,4,3,3,4,4,3,3,5,4,,,,,
0,0,0,2,2,2,3,4,2,2,2,2,2,3,2,,2,1,2,2,3,2,2,2,3,2,4,3,2,3,2,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,1,1,1,1,2,2,3,2,4,4,3,4,3,4,3,,1,2,2,0,2,3,4,4,4,3,3,4,4,4,4,,1,1,2,0,1,2,3,3,3,5,3,5,4,3,4,,0,0,2,2,2,2,2,2,3,3,4,5,5,5,4,,0,1,2,2,2,2,2,5,5,4,3,5,5,5,5,,1,1,2,1,0,2,0,2,5,1,5,5,2,2,0,,1,1,2,3,3,2,3,3,2,3,2,3,3,2,2,,1,2,2,0,0,0,0,3,0,0,1,0,3,5,1,,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,,1,0,2,0,0,0,1,0,1,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,2,0,0,1,0,0,0,1,0,0,1,0,,3,3,4,4,5,3,4,4,4,4,4,4,5,4,4,3,4,4,3,4,3,4,3,3,4,5,3,4,4,4,,,,,
0,0,0,2,2,2,2,3,2,2,2,2,3,2,2,,1,1,1,2,2,1,2,2,3,2,3,3,3,2,2,,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,,2,1,2,0,1,1,1,1,1,1,1,1,1,1,1,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,1,1,1,2,2,2,3,3,4,4,3,4,4,4,3,,1,2,2,0,3,2,4,3,3,2,2,5,4,3,4,,1,1,2,0,1,2,3,2,3,4,3,4,4,4,4,,0,0,2,2,2,2,2,2,3,4,4,4,5,5,4,,0,1,2,2,2,2,2,3,5,4,2,5,5,5,5,,1,1,1,1,0,2,0,2,5,1,5,4,2,2,0,,1,1,2,1,3,2,3,2,3,2,3,2,4,2,2,,1,2,1,0,0,0,0,3,0,0,1,0,4,5,1,,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,,3,3,3,4,5,3,4,3,5,4,3,4,5,4,4,3,4,5,3,3,3,4,4,3,4,4,3,4,4,4,,,,,
0,0,0,2,2,2,2,3,2,3,2,2,3,2,1,,1,1,1,1,2,2,2,1,3,2,3,3,3,3,2,,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,,2,1,2,0,1,1,1,1,1,0,1,1,1,1,1,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,1,1,1,2,2,2,3,3,4,4,4,3,4,4,4,,0,1,2,0,2,2,4,4,3,3,3,5,4,4,4,,1,0,2,0,1,2,3,3,3,4,3,4,4,3,4,,0,0,2,2,2,2,2,2,3,4,4,4,4,5,4,,0,1,2,2,2,2,2,5,5,5,3,5,5,5,5,,1,1,1,1,0,2,0,2,5,1,5,4,3,2,0,,1,1,2,2,2,2,3,2,2,2,3,2,2,2,2,,1,1,1,0,0,0,0,3,0,0,1,0,4,4,1,,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,,3,2,3,4,5,3,3,3,5,4,4,5,5,4,4,4,5,4,3,4,3,5,4,3,4,5,3,4,5,5,,,,,
